opponent_team_name,opponent_team_alias,lakers_score,opponent_score,game_location,game_date,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,defensive_rating,offensive_rating,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct
76ers,PHI,122,133,away,2022-12-10T00:30:00+00:00,43:50,9,22,40.9,1,8,12.5,8,14,57.1,0,4,8,50.0,1,3,4,6,3,2,0,2.0,3,0,0,-10,23,False,False,43.2,21,13.2,14,11,7,63.6,25.52,45.1,9,0,7,5,6,3,2,66.7,118.777904660523,92.4091259945184,0,114,104,9.80368279351934,2.87885923301758,6.12213102717663,2.09045794928663,10.5189340813464,0,3,2,66.7
Pistons,DET,124,117,away,2022-12-11T23:00:00+00:00,36:52,14,24,58.3,2,6,33.3,12,18,66.7,0,5,5,100.0,1,4,5,5,1,1,0,5.0,1,0,0,18,35,False,False,62.5,38,28.8,14,8,7,87.5,26.2,66.8,4,1,2,2,6,3,3,100.0,118.10647037413,133.874464565463,0,78,96,11.3216447833949,3.61663652802893,7.93895823225863,1.27048121593522,3.67647058823529,0,1,1,100.0
Celtics,BOS,118,122,home,2022-12-14T03:00:00+00:00,42:47,14,25,56.0,3,11,27.3,11,14,78.6,0,2,4,50.0,0,9,9,9,4,2,1,2.25,4,0,0,10,33,False,False,62.0,38,26.4,20,12,10,83.3,26.76,61.7,5,0,6,0,8,5,3,60.0,106.434112138898,113.464870425673,0,91,101,20.2712752771187,0.0,11.1492014024153,2.21135336634045,13.0039011703511,0,0,0,0.0
Nuggets,DEN,126,108,home,2022-12-17T03:00:00+00:00,35:56,13,21,61.9,1,4,25.0,12,17,70.6,2,3,4,75.0,1,8,9,4,2,2,0,2.0,2,0,0,26,30,False,False,64.3,34,25.2,20,13,10,76.9,22.76,65.9,4,1,10,6,9,6,4,66.7,103.860987711651,128.635722641369,0,82,108,24.8522241877724,3.25806597583601,14.312218393851,2.5857666474889,8.07754442649434,0,4,3,75.0
Wizards,WAS,119,117,home,2022-12-19T02:30:00+00:00,36:33,13,24,54.2,1,4,25.0,12,20,60.0,1,6,8,75.0,1,6,7,9,0,0,1,0.0,0,0,0,10,33,False,False,56.3,42,30.1,20,12,10,83.3,27.52,60.0,6,0,4,2,8,3,2,66.7,113.20273188483,132.058971432304,0,86,96,16.7651424746049,2.98470339510011,10.1020730295696,0.0,0.0,0,3,1,33.3
Suns,PHX,104,130,away,2022-12-20T02:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Kings,SAC,120,134,away,2022-12-22T03:00:00+00:00,34:00,11,21,52.4,0,4,0.0,11,17,64.7,1,9,10,90.0,0,6,6,11,2,0,2,5.5,0,0,0,-4,31,True,False,52.4,42,29.2,18,11,9,81.8,25.4,61.0,6,0,4,0,5,2,2,100.0,123.169931272467,128.706168809619,0,97,93,19.2513368983957,0.0,9.96539792387543,0.0,7.2992700729927,0,1,0,0.0
Hornets,CHA,130,134,home,2022-12-24T03:30:00+00:00,33:56,15,23,65.2,4,8,50.0,11,15,73.3,1,0,2,0.0,0,2,2,8,3,1,0,2.67,2,0,0,-6,34,False,False,73.9,33,26.5,16,10,8,80.0,23.88,71.2,4,1,4,2,6,3,3,100.0,126.969654702271,136.063189704621,0,97,91,6.90018688006133,0.0,3.40852604918692,1.32298757053177,11.1607142857143,0,1,1,100.0
Mavericks,DAL,115,124,away,2022-12-25T19:30:00+00:00,34:20,13,23,56.5,0,4,0.0,13,19,68.4,0,12,12,100.0,0,6,6,5,2,0,0,2.5,2,0,0,2,38,False,False,56.5,41,29.6,16,11,8,72.7,28.28,67.2,6,0,8,0,11,4,3,75.0,133.36098756337,135.137455330527,0,85,87,20.9708737864078,0.0,11.4908897459769,0.0,6.60501981505944,0,1,0,0.0
Magic,ORL,129,110,away,2022-12-28T00:00:00+00:00,31:10,12,24,50.0,0,7,0.0,12,17,70.6,1,4,5,80.0,2,5,7,5,4,1,1,1.25,1,0,0,8,28,False,False,50.0,26,19.3,20,12,10,83.3,26.2,53.4,3,0,4,2,6,4,2,50.0,110.3519453262,106.048683842042,0,76,84,17.1122994652406,8.10582606248241,12.9888538109658,1.57153770599149,13.2450331125828,0,4,1,25.0
Heat,MIA,98,112,away,2022-12-29T00:30:00+00:00,33:30,10,18,55.6,2,5,40.0,8,13,61.5,1,5,5,100.0,0,9,9,6,6,0,0,1.0,4,0,0,-4,27,False,False,61.1,29,17.7,12,10,6,60.0,20.2,66.8,6,2,0,0,3,1,1,100.0,119.449177227845,109.610413090731,0,71,67,28.0348601371978,0.0,15.9210316828531,0.0,22.9007633587786,0,1,0,0.0
Hawks,ATL,130,121,away,2022-12-31T00:30:00+00:00,39:39,18,27,66.7,4,6,66.7,14,21,66.7,0,7,9,77.8,2,8,10,9,5,0,1,1.8,0,0,0,12,47,True,False,74.1,58,40.3,26,17,13,76.5,30.96,75.9,7,0,2,7,10,6,4,66.7,115.11830496026,137.436066516391,0,97,109,17.6090649999198,5.90547911582675,12.6106585285884,0.0,13.9043381535039,0,3,3,100.0
Hornets,CHA,121,115,away,2023-01-03T00:00:00+00:00,39:33,16,26,61.5,0,5,0.0,16,21,76.2,0,11,15,73.3,0,11,11,6,3,1,0,2.0,1,0,0,9,43,True,False,61.5,52,34.7,26,15,13,86.7,32.6,66.0,9,0,11,2,11,7,5,71.4,103.512317515729,126.559010038645,0,97,106,25.6726842963237,0.0,13.3497958340883,1.08591428337414,8.42696629213483,0,3,1,33.3
Heat,MIA,112,109,home,2023-01-05T03:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Hawks,ATL,130,114,home,2023-01-07T03:30:00+00:00,32:47,10,19,52.6,1,5,20.0,9,14,64.3,0,4,6,66.7,0,7,7,10,5,0,0,2.0,0,0,0,12,25,True,False,55.3,31,19.0,18,11,9,81.8,21.64,57.8,5,0,2,0,10,5,5,100.0,107.182144301039,109.615227793604,0,80,92,20.0962947456563,0.0,11.3879003558719,0.0,18.7687687687688,0,0,0,0.0
